Sample	Kingdom	Phylum	Class_taxa	Order_taxa	Family	Genus	Relative_abundance
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	3.92311e-4
204_v3	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	NA	0
204_v3	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Other	Other	1.96155e-4
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA	1.96155e-4
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	1.96155e-4
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Other	0.00058846600000000005
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	0.020596312
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	1.96155e-4
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	NA	9.80777e-4
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	0
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	3.92311e-4
204_v3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.003726952
204_v3	Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	0.003726952
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Other	Other	0.011769321
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	0.050608082
